pub_date,sectionId,sectionName,webTitle,text
2020-06-01T19:16:31Z,politics,Politics,Tom Watson peerage rejected by Lords vetting commission,"The commission that vets potential new members of the House of Lords has turned down peerage nominations for the former Labour deputy leader Tom Watson, the former Speaker John Bercow and ex-Labour official Karie Murphy, it is understood. The three were all put forward for peerages by Jeremy Corbyn when, as Labour leader, he was asked for nominations in the honours drawn up for the dissolution of parliament in December, which have yet to be announced. It is understood that the party has been told all have been turned down by the independent House of Lords appointment commission. As they were put forward by Corbyn, it would be up to him to suggest any replacement peers, rather than the new party leadership. Downing Street has been publicly sceptical about a peerage for Bercow, who was the subject of a series of bullying claims, which he vehemently denies. Asked about the blocked peerages, Boris Johnson’s spokesman said he could not confirm them: “We’ve previously said that the allegations against John Bercow were very concerning and that they needed to be investigated thoroughly. “But all nominations are subject to independent vetting by the House of Lords appointments commission for propriety before their appointment, and we don’t comment in advance on individual nominations.” Asked about the cases of Watson and Murphy, the spokesman again stressed this was a matter for the commission, but added: “There is no automatic entitlement to a peerage for any holder of high office.” Some reports had suggested concern about Watson’s peerage because of his role in seeking action over allegations of sexual abuse which included highlighting the claims of Carl Beech, who turned out to be a serial fantasist. Beech was jailed last year for 18 years after a court found he had fabricated allegations about a murderous VIP paedophile ring in Westminster. Police had raided the homes of the late military chief Lord Bramall, the late Lord Brittan and the former MP Harvey Proctor based on the allegations. Defenders of Watson have said that it is unfair to blame him for police failings, and that all he did was highlight the issue. Watson stood down as an MP at the last election. Denying Bercow a peerage would breach the convention that former Speakers are put into the Lords. Bercow has said he is the victim of a “conspiracy” to keep him out of the upper house."
2020-06-01T19:13:10Z,politics,Politics,Following the science is so over for Matt. Now fetch him his lucky tie | John Crace,"Some things don’t change. Like Matt Hancock wearing the same lucky pink tie he has worn every day for the past two weeks. Let’s just hope for his family’s sake he doesn’t also have lucky pants and socks. But some things do change. “We’re going to do this a little bit differently today,” the health secretary said at the start of the daily Downing Street press conference. He wasn’t going to waste everybody’s time by reading a statement that people would inevitably pick holes in. He wasn’t even going to crow about the government’s success in containing the coronavirus that had led to that very day’s easing of lockdown restrictions. Not even a huge thank you for the national resolve that has meant some people could now watch the racing from Newcastle. Instead, we got the brusque Matt, a man just keen to get the whole pantomime over and done with as fast as possible. Hancock has had enough and is at breaking point. In the early days of the pandemic, he was still enthusiastic: the Tigger who was thrilled to find himself at the centre of a national crisis and to be on TV nearly every day. Now the thrill has gone. Boris Johnson still gets allowances made for having had coronavirus but no one gives Matt any leeway at all. He’s just the bloke who’s sent out time and again to defend the indefensible. He knows he’s the Muppet who is being lined up as the government fall guy but he’s in too deep to back out now. Even assuming he had the self-worth to tell Boris and his cabinet colleagues where to get off. Naught’s had, all’s spent, where our desire is got without content. He is condemned by his own ambition, and his only release is to take out his misery on the cat. Most often a dead one. What was most noticeable about this press conference was what was missing. There were no slides on the current R rate, which you’d have imagined was a necessity on the day lockdown was eased. The slide on whether we were actually in stage 3 or 4 of the pandemic had also gone awol. Presumably no one could agree whether we were at 4.01 or 3.99. But hey, we’ve always got pigeon racing and having sex outdoors to cheer us up. All that bullshit about “following the science” was so last month. Instead Matt was happy to announce the government now had the capacity to do 200,000 tests a day – try telling that to my mother’s care home – but was actually only carrying out 128,000. Capacity means rather more to Matt than it does to everyone else. Almost all my school reports insisted I had the capacity to achieve higher grades than I managed. The government certainly had the capacity to handle the pandemic a great deal better than it has done, though that’s one area of capacity Matt is never too keen to explore. “We’re winning the battle,” Matt said hesitantly. “And it’s important to remember we’re all on the same side.” So he wanted everyone to act responsibly, go out there, imagine what Dominic Cummings would have done and then do the exact opposite. If Matt could have ended the briefing there and then he would have done, but sadly he was obliged to take a few questions. All of which he did his best to cut short. A member of the public wanted to know why the advice for shielding vulnerable people had been changed late on Saturday night, despite there being no scientific evidence to justify such a move and without any consultation with GPs. That wasn’t quite true, Hancock said. Doctors and patients had had all of Sunday to work out the best care plan. Why was everyone being so negative about a rushed change of guidelines that could kill thousands?
Things went downhill from there. In response to observations that many of those who had signed up as track and tracers had reported they had been asked to do nothing for days, Matt was insistent this was a sign the new scheme was working brilliantly. This was a cause for celebration. Because if the trackers were working then it would mean there were loads of people with the virus. So the fact that no one had got in touch with so many must mean we were winning the battle. He only wished every tracker had nothing to do. For some reason – probably related to the UK having a higher number of new cases per day than most of the rest of Europe combined – the reporters were not entirely satisfied with this answer. Not least because Matt couldn’t come up with any figures for how many people had been tracked and how many contacts had been traced. “I don’t know,” said Matt irritably. “Though I’m sure it’s the majority.” Yup, me too. It was almost as if the health secretary had no idea whether the very systems on which the easing of lockdown depended actually worked or not. A feeling that was only reinforced when he announced future localised lockdowns would be determined by a Joint Biosecurity Centre that he had already admitted didn’t yet exist. Matt had said too much. He hadn’t said enough. That was him in the corner. That was him in the spotlight."
2020-06-01T18:57:31Z,politics,Politics,Corbyn questions impartiality of body conducting antisemitism inquiry,"Jeremy Corbyn has questioned the impartiality of the Equality and Human Rights Commission, which is conducting an inquiry into the Labour party’s handling of antisemitism claims. Speaking to the website Middle East Eye in his first major interview since stepping down as Labour leader, Corbyn accused the EHRC of being “part of the government machine”. His comments come as the equalities watchdog prepares to publish its findings, which are expected to be highly critical of many of Corbyn’s closest allies. He said: “I think it’s quite significant that the Conservative government has underfunded the Equality and Human Rights Commission … and for some reason, which I don’t fully understand … decided to take away its independent status and make it part of the government machine.” Asked if he believed that would affect the outcome of the commission’s report, the Islington North MP said: “Let’s see what happens.” An EHRC spokesperson told Middle East Eye: “We are an independent regulator and take our impartiality very seriously. We have robust procedures and policies in place to manage conflicts of interests or perceived conflicts of interests.” The website only released extracts from the interview on Monday, and will broadcast it in full on Tuesday. Middle East Eye is a London-based online news site founded in 2014 that describes itself as “independently funded”. In 2017 Saudi Arabia claimed that Qatar funded Middle East Eye and demanded the country shut the outlet down as part of a series of sanctions on its neighbour. The site denies receiving funds from Doha. The EHRC launched a formal investigation into Labour a year ago after it received hundreds of complaints about antisemitism in the party. It was only the second such inquiry into a political party by the watchdog, after one into the British National party.
It is seeking to establish whether the party committed unlawful acts and whether it has responded to complaints of unlawful acts in a lawful, efficient and effective manner. Last month the EHRC dropped plans to launch an inquiry into Islamophobia in the Conservatives after the party set out new details of its own investigation. Classed as a non-departmental public body, the EHRC has had its budget cut by successive Tory-led governments, from £62m in 2010 to £17.4m this year. The commission was reformed during Theresa May’s tenure as home secretary, to “increase its accountability to the government, parliament and the public and to improve its effectiveness and value for money”. Corbyn said if he had become prime minister he would have widened the organisation’s powers and said claims he tolerated antisemitism among his supporters were “wrong and extremely unfair”. He told the website that he had taken steps to create a “robust process” to deal with the claims, describing antisemitism as “absolutely, totally unacceptable in any form”. Asked about a leaked 860-page dossier on Labour’s handling of the issue, Corbyn refused to comment directly but described the party machine at the Southside HQ in London as “leaden-footed”. “I always knew that there was a culture in the Labour party that was not a healthy one, of an almost self-perpetuating bureaucracy,” he said. “I wanted to change the way in which the party operated by changing from being a solely bureaucratic machine that administered the party, disciplined members and observed the rules and so on, into a community-organising base of the party.” Corbyn’s successor, Keir Starmer, has launched an investigation into the leaking of the dossier. A spokesperson for Labour said: “We fully respect the independence of the EHRC. Keir Starmer has made clear he will cooperate fully with the commission’s inquiry. We will implement, in full, any recommendations made by the EHRC.”"
2020-06-01T18:02:51Z,politics,Politics,"UK coronavirus: Matt Hancock insists contact tracing system works; official death toll rises by 111 to 39,045 — as it happened","Thatâ€™s it for the UK live blog today, thank you for reading. If you want to continue following the latest coronavirus developments, do head over to our global liveblog."
2020-06-01T17:28:48Z,politics,Politics,Rees-Mogg's plans for MPs to vote in person 'beyond a farce',"Government plans to make MPs vote in person during the coronavirus crisis have been condemned as “beyond a farce” amid concerns they will discriminate against shielding politicians and threaten the lives of staff. Jacob Rees-Mogg, the leader of the House of Commons, tabled a motion on Monday preventing the resumption of virtual voting, which allowed MPs to have their say from afar during the pandemic. If the house approves the government plan on Tuesday, MPs may have to form kilometre-long queues in order to obey physical distancing rules when voting – despite the Lords planning a move online. The former cabinet minister Karen Bradley is leading a rebellion against the ending of the hybrid Commons proceedings, which allowed for remote voting and virtual debates. Bradley, now the chair of the powerful procedure committee, has put forward amendments which would allow those MPs not able to travel to Westminster to keep participating in debates via video link and to vote remotely. She has the support of the chairs of 16 other select committees including a number of former ministers. Valerie Vaz MP, the shadow leader of the House of Commons, said: “Jacob Rees-Mogg’s discriminatory proposals would result in two classes of MPs. Those who can physically attend and those unable to owing to the government’s own rules, including having an underlying health condition or shielding responsibilities. “The abolition of the hybrid remote parliament which allowed all MPs to take part regardless of their personal circumstances is discriminatory and would not be acceptable in any other workplace.” Rees-Mogg defended the plan in the House political magazine, saying the total numbers on the estate “will not increase significantly”, with MPs’ staff continuing to work from home.“For those MPs with underlying health conditions who have been told to shield or are receiving specific government advice about their health, the government is working with the house authorities to see how they can continue to contribute to proceedings,” he wrote. But the plans, which are still being risk assessed, have drawn criticism from pressure groups and politicians. The Electoral Reform Society said: “If this goes ahead, it is beyond a farce. It is unacceptable when there is currently a safe, secure and speedy option for voting available: remote/digital voting. MPs have already used it, and it works. “Since some MPs are shielding and are not safe to travel in person, these plans – if confirmed – pose a real threat for democratic representation and political equality.” Senior Tories including Robert Halfon, the chair of the Commons education select committee, who is currently shielding, have called for virtual proceedings to continue for those who need them. The Liberal Democrat MP Jamie Stone tweeted: “I’m a carer for my wife. You’re asking me to choose between the health of my family and abiding by your poxy stubbornness. I choose to fulfil my duties as a husband and family man.” Dame Margaret Hodge, the Labour MP for Barking, said she was “furious” that she was being “denied the right to vote” on Tuesday because she was deemed vulnerable. She accused Boris Johnson of being on a “mission to end” digital voting, tweeting: “This damaging move will limit accountability & create a toothless parliament. It means MPs in the ‘vulnerable’ category will be rendered voiceless & it will completely distort votes.” The government’s motion requires voting to take place in person at the Palace of Westminster and that MPs must follow Public Health England guidance. The mechanics of voting would then be left to the Commons Speaker, Sir Lindsay Hoyle, to set out, with parliamentarians having to avoid the narrow division lobbies. He has described a single file of MPs snaking through parliament as a “supermarket queue” that will lead through the centre of the chamber to the dispatch box. Unions said the plans will put parliamentary staff at risk from the virus and urged the government to publish any risk assessment of the plans. Amy Leversidge, the FDA union’s assistant general secretary, said Rees-Mogg’s article revealed that “risk assessments are being conducted”. “It is shameful that with less than 24 hours to go the government are still scrambling to work out how parliament can return safely,” she said. The prime minister’s official spokesman said MPs who needed to shield “should continue to do so” and informal arrangements such as pairing would be in place to allow this."
2020-06-01T16:11:18Z,politics,Politics,Advisers urge ministers to review benefit cap in wake of coronavirus,"The government’s own expert welfare advisory group has called on ministers to review the benefit cap, amid evidence that the controversial policy has left tens of thousands of low-income claimants without vital extra financial help during the coronavirus lockdown. A letter to the work and pensions secretary, Thérèse Coffey, from the Social Security Advisory Committee (SSAC) said that although the Department for Work and Pensions (DWP) had done “remarkable” work to support claimants during the crisis, ministers needed to address several “rough edges” to its policies, including the benefit cap. The SSAC also called for the £90-a-month uprating of universal credit and tax credits announced by the chancellor in March to help with living costs related to Covid-19 to be extended “as soon as possible” to hundreds of thousands of people on older unemployment benefits who did not receive the cash boost. “We are of the strong view that it is increasingly untenable for this group of claimants to be excluded and to continue to have a lower level of income than those in receipt of universal credit and working tax credit,” the committee, which is formally sponsored by the DWP, said. The letter was also critical of DWP advice that left some self-employed people worse off after losing existing benefits in lockdown when they were wrongly told to apply for universal credit as their incomes dropped. Many were refused universal credit, but prevented from reclaiming their original benefits by DWP rules. It comes amid rising concern from charities and opposition parties that policies such as the benefit cap and the two-child benefit limit have left the poorest households struggling to cope with the increased cost of food and energy bills during the pandemic. Estimates suggest that around 108,000 families – including 90,000 families already capped – will not see any of the chancellor’s cash boost because it takes them over the benefit cap limit, enabling the DWP to claw it back. In one case, a capped claimant has taken legal action after she was left worse off by the chancellor’s uprating. The benefit cap was intended to “incentivise” unemployed claimants to get a job by limiting their total household benefits to £23,000 a year (£442 a week) in London and £20,000 a year (£385 a week) outside the capital. People can escape the cap if they get a job or work more hours. The SSAC letter pointed out that this was currently likely to be difficult: “Claimants would normally have the option to move into paid work or to move home to avoid the impact of the benefit cap, but neither of these are realistic choices for many people at the current time.” It said the DWP had claimed it was administratively too difficult to safely uprate jobseeker’s allowance (JSA) and employment and support allowance (ESA). However, ministers should “ensure that this group of claimants … are brought up to the same level as those in receipt of universal credit as soon as it is possible to do so”. Labour’s Jonathan Reynolds, the shadow work and pensions secretary, said ministers should heed the committee’s words: “There is no justification for failing to uprate JSA and ESA In line with UC and the benefit cap should be scrapped – it’s clearly impossible to work more hours or move to cheaper housing during the crisis.” The SSAC’s membership includes policy experts from organisations such as the Institute for Fiscal Studies and the Joseph Rowntree Foundation, as well as former DWP officials. The DWP said: “We are doing whatever it takes to ensure people are supported through these unprecedented times, including injecting £6.5bn into the welfare system and rolling out income protection schemes, mortgage holidays and additional support for renters. “We have experienced a surge in demand since mid-March and universal credit has enabled us to increase payments at pace, while maintaining the stability of the welfare system overall. We estimate that 2.5 million households on Universal Credit will benefit immediately from the £20-a-week increase in the standard allowance. We have also increased other entitlements such as local housing allowance, to better support those across all benefits.”"
2020-06-01T15:26:03Z,politics,Politics,"EU has no legal duty to give UK trade privileges, document says","The EU has no legal duty to grant the UK privileges offered to other countries in trade deals, an internal European parliament paper has concluded ahead of a crucial round of Brexit talks this week. The document, drawn up by officials for the parliament’s UK coordination group, is a short analysis of arguments made by the UK’s chief negotiator, David Frost, in a letter to his counterpart, Michel Barnier. Frost accused the EU of treating the UK as an “unworthy” negotiating partner by denying the UK “the kind of well-precedented arrangements commonplace in modern FTAs [free trade agreements]”. EU negotiators were deeply irritated by the letter: they countered that every deal is unique and any agreement with the UK must reflect its proximity and potential to become an economic competitor undercutting European rivals.
While MEPs are not involved in Brexit negotiations, the latest document, seen by the Guardian, underscores that Barnier enjoys the support of the parliament, which must approve the final UK-EU deal. The EU is “not legally obliged to grant to UK the rights or trade preferences agreed with other third countries in past FTAs”, the document states, adding that the EU is sovereign and has “the right to propose the commitments that are in its interest”. The cementing of positions comes before a critical fourth round of negotiations on the future EU-UK relationship starting on Tuesday. EU and British negotiators will meet via video link because of coronavirus restrictions, with talks scheduled on 11 different topics, including trade in goods and police cooperation. The thorny issue of fishing rights has been allocated the most time, amid fading hopes of an agreement by 1 July, a deadline intended to allow the industry time to prepare for changes from 2021. The two sides will also square off over fair competition conditions to access the EU market, an issue known as the level-playing field that is at the heart of the increasingly bitter dispute. EU officials have accused the UK of backsliding on promises made by Boris Johnson last October, while refusing to engage in detailed talks on the issue. British officials reject these charges, while blaming the EU for holding up progress on an area of mutual benefit. British arguments have failed to convince EU diplomats to rewrite Barnier’s mandate, while EU officials have warned of stalemate if this week’s talks fail to progress. Another inconclusive round is likely to set up a difficult encounter between Boris Johnson and the head of the European commission, Ursula von der Leyen, in mid June. The EU is playing down expectations of that meeting, which was once seen as a decisive encounter at the halfway stage of talks. “No one has the interest at the moment to see this as a make-or-break summit, because we know we won’t have enough progress, so we just need to find a common strategy to deal with it,” an EU diplomat said. A UK spokesperson said the government would continue to approach talks constructively. “We expect this round to keep the process on track ahead of the high-level meeting later this month, but it’s clear that the EU needs to evolve its position if we are to reach an agreement. “A balanced solution is needed which reflects the political realities on both sides, and we will continue to make sure our position is understood,” the spokesperson said, adding that the UK would not agree “demands for us to give up our rights as an independent state”."
2020-06-01T13:30:12Z,politics,Politics,Government fails to distance Dominic Cummings from sex discrimination case,"Government lawyers have tried and failed to remove the name of Dominic Cummings from a sex discrimination claim being pursued by Sajid Javid’s former special adviser, the Guardian can disclose. The demand was rejected after barristers for Sonia Khan, the former chancellor’s media adviser who was marched by armed police from Downing Street, successfully argued that the behaviour of Boris Johnson’s chief aide was pivotal to the case. The disclosure will be seen as an attempt by the government to protect Cummings from further controversy. He is facing demands for his resignation after the Guardian revealed that he had driven hundreds of miles across the UK during the coronavirus outbreak. It also means that Cummings could be made personally liable for part of any damages award. Khan was Javid’s media adviser at the time she was escorted from No 10 after Cummings accused her of misleading him over her contact with individuals close to the former chancellor Philip Hammond. She denied any inappropriate contact. Javid was furious to learn about her dismissal after the event.
At an employment tribunal hearing in central London, a judge set the case for a five-day hearing in December at which the relationship between Cummings and Johnson will be scrutinised. Barristers for Khan named Cummings as a respondent in the case, which also includes an unfair dismissal claim. It is understood that the government’s solicitors attempted to argue that his name should be removed and replaced as a respondent with that of the Cabinet Office. Whitehall sources said Cummings planned to fight the claim. Counsel for Khan, who is being backed by the FDA union, argued that Cummings was pivotal to the case and that what he had done personally, rather than just as an agent of the employer, was actionable. He is expected to be summoned as a witness. The hearing ruled that the Cabinet Office could be added as a respondent but Cummings would also remain. Khan, 28, was accused by Cummings of lying about her conversations with Hammond’s former staff member Poppy Trowbridge. It is understood Khan was asked to hand over her work phone, and also presented her personal phone to Cummings. There were no other firsthand witnesses to Khan’s sacking by Cummings, who spoke to her in an office in Downing Street close to the prime minister’s. In a meeting days after Khan’s departure with Boris Johnson’s team of special advisers – known as spads – Cummings is said to have remarked: “If you don’t like how I run things, there’s the door.” Bruce Carr QC, a former government adviser on employment law, said the naming of an individual as a respondent could mean he could be personally liable for damages. “There are plenty of cases where it is appropriate and legitimate to include an individual as a respondent where that individual is central to the allegations of discrimination,” he said. “Where that is or might be the case, it is actually very difficult for the principal respondent such as a government department to persuade a tribunal to strike out a claim against the individual named respondents. “What you are effectively asking them to do is rule that the claim against the individual is frivolous or hopeless or is being brought for illegitimate reasons.” Cummings has previously faced criticism over what some describe as his high-handed behaviour. In 2012, a senior civil servant received a payout of £25,000 from the Department for Education in a bullying case she took against Cummings and a senior member of Michael Gove’s team when Cummings was a special adviser at the department. An internal investigation found no grounds for disciplinary action. Cummings also drew criticism for hiring Andrew Sabisky, a temporary contractor who resigned over comments about eugenics and race. Johnson could also be asked to give evidence to the tribunal. At the time of Khan’s dismissal last September, the terms of employment for special advisers made it clear that it was only the prime minister who had the power to sack them. This was then changed after Khan left, giving Cummings ultimate “responsibility for disciplinary matters”. Dave Penman, the head of the FDA, declined to comment on the specifics of the case. “The FDA continues to support Sonia Khan through her legal claims at tribunal,” he said. A government spokesperson said: “We don’t comment on ongoing legal matters.” A source added that it is standard government practice to ask for the employing department to be named as the respondent rather than individual employees."
2020-05-31T12:28:58Z,politics,Politics,Labour's Rosie Duffield 'right to resign' after lockdown breach,"The shadow chancellor, Anneliese Dodds, has said her Labour colleague Rosie Duffield had been “absolutely right” to resign from the party’s frontbench for breaching lockdown rules, saying it was vital everyone adhered to them. Duffield, the MP for Canterbury, resigned as a whip and apologised after newspaper revelations that she had met her partner while lockdown restrictions were in place despite not living together. At the time it occurred, people from separate households were still barred from meeting. “She was absolutely right to resign,” Dodds said when asked about the issue on BBC One’s The Andrew Marr Show. “Clearly, she wasn’t right to have broken the rules, quite the opposite. “It’s absolutely correct that she has immediately taken responsibility for that, as I understand it, and she has resigned. I talk to my constituents and the kind of sacrifices they have gone through to stick to the rules, to keep us all safe. Everybody has got to do that.” While Dodds did not mention Dominic Cummings, Boris Johnson’s chief adviser, who has not resigned despite apparently breaching lockdown rules to drive from London to Durham with his family, Labour will have been keen to show a very different approach to such issues. Duffield quit her role before publication of the story in the Mail on Sunday, which said she had gone for a walk in April with James Routh, who was separating from his wife. He also visited her constituency home. He now lives at her London flat, the paper said. The MP said they observed physical distancing rules by keeping two metres away but accepted this was before such meetings were allowed. In a statement she said: “My partner and I have been attempting to navigate a difficult personal situation as responsibly as possible. I apologise that during that process, we breached the guidelines. “A relationship breakdown is difficult at the best of times, let alone during a pandemic. I hope people can understand why I took the steps I did and know that I take responsibility for the breaches that occurred and for which I apologise.” Duffield took Canterbury from the Conservatives in the 2017 election with a majority of 187, increasing this to 1,836 in December’s election. In October, she won considerable praise for using a debate on the domestic abuse bill to chronicle her experiences at the hands of a previous partner who became controlling and threatening."
2020-05-31T07:35:06Z,politics,Politics,MPs furious about forced return of ‘physical voting’ to Commons,"Senior MPs have warned that many elderly members of parliament and those with health conditions will be “disenfranchised” and put at risk of contracting Covid-19 if they are forced back to the House of Commons for debates and votes this week. A furious argument has broken out between backbench MPs of all parties and the government over plans which, if passed, will end all remote voting from this week and mean members have to attend in person. Parliament is resuming on Tuesday with the row still unresolved. One former cabinet minister predicted “total chaos” if leader of the house Jacob Rees-Mogg presses ahead with the plan and insists on a policy of “physical voting” only in the chamber. Many MPs say the rules will mean they have to break the law by travelling to parliament and staying overnight in shared accommodation when they could easily work from home. On Friday evening, the all-party House of Commons procedure committee recommended that the remote voting system should be allowed to continue, to protect the ability of MPs who are self-isolating, shielding, or otherwise vulnerable to represent constituents. The Tory chair of the committee, Karen Bradley, said members would effectively be “disenfranchised” if the hybrid system was abandoned. On the issue of voting, the committee recommended that “the house will as far as possible allow virtual participation in its proceedings by members who, by virtue of the coronavirus pandemic, are prevented from attending the house in person”. A Commons vote on how to proceed will be held on Tuesday, with many MPs now torn over whether to attend. Under the Rees-Mogg plan, MPs would have to queue around the palace of Westminster to vote because doing so in the cramped lobbies has been declared unsafe. Former shadow leader of the house Chris Bryant said the queues “would be like Alton Towers”. Some MPs believe Rees-Mogg wants to recall parliament in full physical form to bolster prime minister Boris Johnson, who prefers a loud group of Tory MPs to be cheering him on. But any hope of a full chamber returning was thwarted when the speaker, Lindsay Hoyle, insisted on retaining a rule that a maximum of only 50 MPs could be in the chamber at any one time.
Veteran Labour MP and former minister Margaret Hodge, 75, said she had been told by lawyers that the government would be breaking several laws passed by parliament if it denied MPs the right to vote. “I regard myself as fairly fit but even so I feel absolutely furious that MPs who cannot go to parliament are being discriminated against and denied the right to vote on behalf of our constituents in parliament. “The informal legal advice I have had suggests that acting in this way would break three different types of legislation regarding healthy and safety, equalities and human rights. It beggars belief that we think we can be above the laws we make.” Former Labour foreign secretary Margaret Beckett, 77, whose husband Leo is 93, said she believed the “hybrid” system used earlier this month – under which MPs could vote either in person when attending parliament or remotely from home – had worked well. Insisting that MPs return to Westminster to debate and vote would, she said, go against the national guidance on coronavirus and could put MPs’ health and that of their families at risk. “I thought the guidance was that if you could work from home you should do so. I think what they are doing is a very high-risk strategy,” she said. Other MPs with constituencies outside London and the south-east are complaining that forcing them back to Westminster will mean they will have no option but to move back into houses and flats they share with other MPs in London when they are attending parliament. The Labour MP for Manchester Central, Lucy Powell, said: “The parliamentary estate can adapt like other workplaces, albeit with challenges. However, what contravenes government rules is that most of us would need to stay in our second homes, which many of us share with other MPs, so mixing households and travelling hundreds of miles to get there. We can’t enforce rules that as lawmakers we are breaking ourselves. This will send a very confused message to the public.”"
