pub_date,sectionId,sectionName,webTitle,text
2021-03-03T20:05:46Z,politics,Politics,What impact is the Salmond saga having on the drive for independence?,"With the Scottish parliament elections only eight weeks away, the immediate political cost of the Salmond saga to the party he led for over two decades may be evident soon enough. There has been much commentary about whether this crisis is cutting through to voters. Nicola Sturgeon enjoys a high approval rating, largely because of her perceived competence in handling coronavirus, and the public are understandably focused on more pressing concerns related to the pandemic. But party insiders accept it is inevitable that these high-profile evidence sessions will have a greater impact on the public consciousness than earlier, more technical, committee sessions.
The SNP hopes to win a majority on 6 May so it can argue it has a clear mandate to pursue a second independence referendum with Westminster. But recent polling shows that – while an SNP victory is still highly likely – there has been a dip in support for the party and for independence. Last Sunday, a Survation poll for the Sunday Mail recorded a 50-50 split – excluding don’t knows – on independence, the first time in 22 consecutive polls that the yes side has not had a lead. A week before that, research conducted by Ipsos Mori for STV found the SNP three points down compared with November, but still with 52% are likely to vote for the Nationalists in the constituency vote in May’s election, while 23% indicated they will vote for the Scottish Conservatives and 15% for Scottish Labour. Both Labour and the Tories have gained a single point over the last three months. Asking about the impact of the Salmond inquiry on voters’ perceptions of the SNP, the Ipsos Mori study found that more than one-third (36%) said the inquiry had made them less favourable towards the party, but most (58%) said the episode had not altered their view. Some observers suggest it is the advent of the vaccine – which voters may perceive as concrete evidence of the benefits of remaining in the union - that has had more impact on support for independence. Polling undertaken last month by YouGov of SNP voters found that they strongly take Sturgeon’s side, with 49% believing she has generally been telling the truth, and only 13% believing she has not. These numbers are reversed for Salmond: only 14% think the former first minister has generally told the truth, while 42% disagree."
2021-03-03T19:41:44Z,politics,Politics,Dishi Rishi the influencer falls flat in his big budget moment,"Not so much a chancellor, more a lifestyle coach. When Rishi Sunak gave his first budget just a year ago, he was the ingenue stand-in for Sajid Javid who had had a major strop. Now he is a brand – complete with his own range of merchandise. The ath-leisure hoody. The fragrance “Dishi par Rishi”. The conscious coupling to produce his own scented candle with Gwyneth’s Goop. But what works well on social media doesn’t translate quite so well to the House of Commons. Because, having spent much of the previous week leaking his entire budget to the media and making six-minute Twitter videos, Sunak’s second budget – if you don’t count the eight emergency ones in between – felt rather flat. The best part of an hour in which the chancellor told us almost nothing we didn’t already know. Lights, camera, action. Sunak had tried to lift himself for his speech after he was called to the dispatch box. But whether it was the absence of the mournful solo piano during the sad bits that had moved him to tears in his video, or just that it all now felt a bit stale, he couldn’t quite land his budget with the panache he had hoped. The words came out as planned but his eyes were curiously detached. As if, for a moment he had seen through his constructed persona of the leader in waiting and found himself wanting. The worry that, deep down, he might just be another fake. A huckster who had kidded himself he could do a near impossible job. “That which we are, we are,” as he would later randomly quote Tennyson. Sunak had started by saying he was going to be honest with the country. Unlike some prime ministers he could think of. Though not honest enough to ever slip in the fact that the Office for Budget Responsibility had predicted that Brexit would lower productivity by 4%. In fact he didn’t get round to mentioning Brexit at all. Maybe it just slipped his mind. Nor was he entirely honest with announcement of the locations of the eight supposedly game-changing tax havens, aka freeports, because he had rather forgotten that we had previously had seven freeports up until 2012 while we were still in the EU. No one could have done more to support the country during the pandemic than him, he said. There was a lot of use of the word “I” in his budget statement and very little “we” . It’s amazing how quickly a politician can morph from a team player into a diva. And Rishi was going to carry on showing how much he loved the country by extending the furlough scheme and the rise in universal credit until September. But once the pandemic was over and the UK was on the road to recovery, then there would be some hard decisions to take. Though not immediately. Rather the cost of the bailout would have to be paid for in delayed tax rises. A freeze on income tax thresholds and a postponed rise in corporation tax to 25%. There were no gags, small mercies. The chancellor has enough nous to realise his main attraction is as “the thinking person’s nerd”. He concluded with some words about super-deductions – everyone nodded along, though they didn’t have a clue what he was on about – investment in some red-wall seats, and the green economy making Britain great again, before sitting down to a few half-hearted cheers from Tory backbenchers. It would take some of them a while to work out that they had just been applauding a budget that had trashed the past 10 years of Conservative economic policy and was closer to something that John McDonnell might have given the previous year than anything in the Tory manifesto. Replying to a budget speech is generally a thankless task, but Keir Starmer had an easier time of it than most as almost all of it had been in the public domain for several days. His critique focused mainly on public sector pay freezes, the failure to act more swiftly to lockdown earlier in the pandemic, the absence of anything on social care and Brexit and the temporary nature of the uplift to universal credit. Sunak pretended not to hear and spent most of the time checking his texts – “You were fab, Gwynnie xxx” – and social media feed on his phone. When you’re as big an influencer as Rishi, it’s one of the few ways you can be sure you’re alive. That, along with a can of Mexican cola and a Star Wars lightsaber. The fix proved short-lived. If Rishi had hoped that by being the first chancellor to give a press conference on the evening of his budget speech, he was going reinforce his credibility as the on-trend new-age economics guru, then he was in for a big disappointment. Because it was as if he couldn’t quite believe his budget wasn’t getting the endorsements he craved. Whereas in the Commons he had at least managed to sound like a grown-up as he delivered his speech, in his Downing Street briefing he sounded like a narked and patronising senior school prefect. As if the reason people were unreceptive to what he had to say was because they were too stupid to understand it, rather than there being any holes in his thinking. “I want to be honest with you,” he said, sounding tetchy and deflated, before going on to tell some of the same untruths as before. Nothing on Brexit, nothing on any future costs of the pandemic, cagey on tax and pretending to be amazed that the vast majority of new money was going to Tory-held seats in the Midlands and the north. This was Rishi laid bare. The man-child who didn’t have all the answers and couldn’t bear to be openly cross examined. To think that Matt Hancock aspires to this level of fame. Sunak wrapped up the presser as fast as decently possible. A day that had promised so much – in his own imagination at least – had turned to dust in a matter of hours. The Peloton exercise bike was in for one hell of a pounding when he got home."
2021-03-03T19:12:21Z,politics,Politics,Nicola Sturgeon: government made ‘catastrophic’ error in Salmond inquiry,"Nicola Sturgeon has rejected the “absurd” allegation the Scottish government plotted to destroy Alex Salmond’s reputation but admitted it made serious mistakes in its investigation into complaints against him. The first minister said her government made a “dreadful, catastrophic mistake” during its inquiry into two sexual harassment complaints against Salmond by appointing an official who had previously spoken to the complainers as its investigation officer. That decision led to the government losing a judicial review taken by Salmond, costing taxpayers more than £600,000. “Two women were failed and taxpayers’ money was lost,” she said. “I deeply regret that.” Closely questioned by MSPs during a marathon eight-hour evidence session at the Scottish parliament, Sturgeon insisted her former mentor was wrong to accuse her, the Scottish National party or her officials of a vendetta or conspiracy against him. “I must rebut the absurd suggestion that anyone acted with malice or as part of a plot against Alex Salmond,” she said in her opening statement to nine MSPs investigating the government’s botched inquiry into the harassment allegations against Salmond, which he had denied. She later went further: “Alex Salmond has been for most of my political life, since I was 20, 21 years of age, my closest colleague. He was someone I looked up to, someone I revered. I would never have wanted to ‘get’ Alex Salmond.” Sturgeon came under pressure from MSPs to explain why there had been repeated delays in the release of the government’s legal advice, and key internal documents, as she offered new explanations about why she had met Salmond while the harassment inquiry was under way. Jackie Baillie, of Labour, alleged Sturgeon and Salmond had breached the confidentiality of complainers when he discussed their allegations against him in a meeting at her home on 2 April 2018, yet Sturgeon waited until early July before telling Leslie Evans, the permanent secretary, they had met. Sturgeon acknowledged she discussed Salmond’s criticisms of the inquiry with him five times partly because she felt loyalty towards him, but delayed telling Evans because she feared that would be seen as her interfering in the process. Labour and Conservative MSPs accused Sturgeon’s deputy first minister, John Swinney, of breaking the government’s promises to publish all its legal advice, despite his last-minute decision to release previously secret legal papers late on Tuesday afternoon. Several weeks of legal meetings were missing from the records Swinney released; Sturgeon promised more papers would be supplied. Those papers contained the explosive revelation that Roddy Dunlop QC, one of Scotland’s leading lawyers, who was the government’s external counsel, had been furious that government officials failed to disclose critical evidence about the prior contact of the investigating officer with the two complainants. Sturgeon told the committee she only learned of this apparent conflict of interest and its legal significance in November 2018. In a parallel development, the Tories said they were reconsidering their votes of no confidence against Swinney and Sturgeon, due to be heard on Thursday, after Swinney offered to release more legal information. The party said the motions were still live, but indicated they might be withdrawn. Sturgeon was pressed on whether she had investigated allegations that a senior government official had leaked the name of a complainer to Geoff Aberdein, Salmond’s former chief of staff, before Sturgeon met Aberdein in her office at Holyrood in late March 2018. Aberdein’s account was supported by Salmond’s lawyer Duncan Hamilton and his former spokesman Kevin Pringle, who told the committee on Tuesday Aberdein had made that claim in a conference call with him soon after he met that official. The Tory MSP Murdo Fraser said that was “an incredibly serious issue” and potentially unlawful. Sturgeon said Aberdein’s account had been denied by the official concerned but she said the allegation was included in an investigation by James Hamilton, Ireland’s former director of public prosecutions, into whether Sturgeon had broken the ministerial code. “That was not the way, as I understand it, that happened, in the way that is being set out,” she said. During a series of tense exchanges, Sturgeon said she had no idea who leaked news that the internal inquiry had upheld the complaints against Salmond to the Record newspaper in August 2018, despite his allegations a government figure must be to blame. “There was no part of me that wanted for this proactively to get into the public domain,” she said. The idea she would ever need to discuss this publicly made her feel “physically sick”. She also admitted that before she met Salmond at her home in April 2018, she “had a lingering fear, suspicion, concern” that allegations about his conduct might emerge. She knew Sky News had contacted the government in early November 2017 about alleged incidents involving Salmond at Edinburgh airport a decade earlier – claims Salmond denied – and had discussed them with him that month. Answering Salmond’s charges that she offered to intervene on his behalf in the government inquiry, Sturgeon said Salmond might have misunderstood what she said to him. Her written evidence said she had made clear to him she would not intervene, but Duncan Hamilton, who was present when Sturgeon met Salmond in her house on 2 April, told the committee in written evidence on Tuesday that he had heard her offer to do so “if it comes to it”.
Sturgeon said Salmond may have misunderstood. “I believe I made it clear I wouldn’t intervene. [I] was perhaps trying to let a longstanding friend and colleague down gently, and maybe I did it too gently, and maybe he left with an impression I didn’t mean to give him.” The first minister said once Salmond had set out the allegations he was facing “my head was spinning. I was experiencing a maelstrom of emotions.” Sturgeon said the government had to investigate the allegations against Salmond, regardless of how powerful or famous he might be. She said many people, including her, had been let down by her former friend and mentor but he had not yet apologised. “When I saw him lashing out on Friday, I don’t know whether he ever reflects on the fact that many of us feel let down by him,” she said. “That is a matter of deep personal regret.”"
2021-03-03T19:07:19Z,politics,Politics,Budget: Rishi Sunak finds inspiration in Tennyson’s Ulysses poem,"Rishi Sunak’s budget speech was unusually short on quips but sought inspiration from Tennyson’s Ulysses as he attempted to sum up the UK’s determination to face the future. “That which we are, we are,” the chancellor said as he reached the end of a statement which promised tax rises and continued emergency spending during the coronavirus pandemic. The quote was taken from the acclaimed last lines of the 19th-century poem which has been used by many to summon communal strength during times of adversity: “… that which we are, we are / One equal temper of heroic hearts, / Made weak by time and fate, but strong in will / To strive, to seek, to find, and not to yield.”
The lines are often associated with one of Britain’s heroic failures: they are inscribed on a cross in Antarctica to commemorate the explorer Robert Scott and his party, who died on their return trek from the south pole in 1912. Last year’s statement, before the horrors of the pandemic were fully appreciated, established Sunak’s reputation as a fluent orator before a crammed House of Commons. He had been in the post for a matter of weeks after Sajid Javid’s unexpected resignation. Following in the footsteps of many chancellors, he delivered jokes at the expense of his then Labour shadow. “There will be no VAT on historical fiction by Hilary Mantel, manuals or textbooks like Gray’s Anatomy or, indeed, works of fantasy … like John McDonnell’s Economics for the Many,” he said to backbench laughter. Wednesday’s statement, also delivered with élan and control, was to a socially distanced and masked parliament. It followed a year that saw more than 120,000 deaths from Covid-19 and with the UK facing a deeper recession than many similar economies. Under these circumstances, Sunak reached for steely resolve and what he described as an attempt to level with the public. He repeated the word “honest” six times. “The fundamentals of our character as a people have not changed. Still determined. Still generous. Still fair. That’s what got us through the last year; it’s what will guide us through the next decade and beyond,” he told MPs. More serious than the absence of jokes, critics said, was the lack of extra money for social care, childcare or public sector workers, or even a passing mention of Brexit."
2021-03-03T18:41:53Z,politics,Politics,Budget 2021: Sunak holds briefing after flagging tax rises to pay for Covid recovery - as it happened,"Rishi Sunak has outlined tax rises on companies and workers to pay for an additional Â£65bn of financial support to see Britain through the coronavirus pandemic, taking total government spending on the crisis to more than Â£400bn. Keir Starmer has signalled that Labour will back plans to increase corporation tax from 2023, reiterating the partyâ€™s opposition to immediate tax rises, which has caused a backlash from the left. Labour has claimed that Rishi Sunak is prioritising Tory areas for money from the levelling up fund. In a news release the party says: The governmentâ€™s new flagship levelling up fund will prioritise the chancellorâ€™s own local authority, where houses are currently on sale for Â£2.5m, for regeneration funding ahead of more deprived areas, according to Labour Research. The chancellorâ€™s own local authority of Richmondshire, as well as the constituencies of four other members of the cabinet, are prioritised to bid for levelling up funding. Newark and Sherwood, Pembrokeshire, Dumfries and Galloway and Great Yarmouth local authorities, which include the constituencies of the chancellor, the communities secretary Robert Jenrick, Welsh secretary Simon Hart, Scottish secretary Allister Jack and Northern Ireland secretary Brandon Lewis respectively, were all included in the first tier of eligibility for priority funding, under plans announced by the chancellor at the budget. Their areas were selected for funding ahead of authorities such as Barnsley, Flintshire, Coventry, Plymouth, Salford and the Wirral, all of which were included in the second tier for priority funding. At his press conference Sunak was asked about this by the FTâ€™s George Parker, who suggested the chancellor was engaged in â€œnaked pork barrel politicsâ€�. Sunak said any area could bid for money from the levelling up fund. He said the areas getting priority funding were getting â€œcapacity fundingâ€� to help them put together a bid. He said this list was based on an index of economic need that had been published. A lack of support for care homes, the NHS and people on benefits led to claims that Rishi Sunakâ€™s budget had left the countryâ€™s most vulnerable people â€œbetrayedâ€�. The chancellor promised a â€œreal commitment to green growthâ€� in his budget, though environmentalists expressed concern about a lack of detail over how that might be achieved. The chancellorâ€™s budget was cautiously welcomed by the culture sector but industry figures said it lacks detail in key areas and does not do enough to support those who have missed out on government support, such as freelancers. Thalidomide campaigners have reacted with relief and joy after the chancellor, Rishi Sunak, pledged a â€œlifetime commitmentâ€� of funding to support survivors of the scandal."
2021-03-03T17:46:18Z,politics,Politics,Nicola Sturgeon: difference between Salmond and me is I never claimed to be infallible - as it happened ,"Well that was around seven hours of evidence. I’ve done my best to summarise it here. Thanks for following the blog today: Sturgeon said that the legal advice published last night shows that the government did have a stateable case and so it was right to continue with the judicial review. Critics have said it proves the opposite but this was rejected by the first minister who said lawyers are always cautious and they were not advocating abandoning the government’s defence. Sturgeon denied that one of her officials gave the name of one of the complainers against Alex Salmond to one of his aides. Confronted by statements which claimed this happened, she told the committee that that was not what the official had told her; “It did not happen in the way that has been described.” The first minister said one of the names was known by Salmond because he had previously apologised to her and he had identified another by looking through the Scottish government’s Flickr account. She defended telling parliament that she first became aware of the allegations against Salmond at a meeting with her predecessor on 2 April 2018. Sturgeon has been accused of misleading parliament because she had a discussion with Salmond’s former chief of staff, Geoff Aberdein, on 29 March, and knew Sky News had made inquiries in November 2017 about alleged incidents involving Salmond. Sturgeon said the 2 April meeting was the first time she knew about the specific allegations having been shown a letter by Salmond and this may have “obliterated” her memory of the meeting a few days earlier with Aberdein. Sturgeon told the committee she met Salmond initially because she was told he was distressed and thought he was thinking of resigning and continued to do so out of a sense of “loyalty”. She said she did have doubts as to whether she should have had her final meeting with him on 14 July 2018. The first minister said she never had any intention to intervene in the matter because it would be seen as using her power on Salmond’s behalf and “deeply inappropriate”. She said, because of their past relationship and the nature of the meeting, she may have let Salmond down “too gently” when he wanted her to intervene, giving the false impression to him that she had agreed to do so. Sturgeon claimed she delayed telling civil servants about her meetings with Salmond because she feared it would compromise the independence and confidentiality of the investigation into him. She said she only reported the meetings when it became apparent he was seriously considering legal action against the government. Sturgeon said it was up to James Hamilton, the independent adviser investigating whether she breached the ministerial code, to decided whether she should have reported the meetings earlier. The first minister said there was “zero evidence” of a plot against Salmond. She claimed that messages used to support this allegation had been taken out of context and the allegation was “a million miles” from what was actually happening."
2021-03-03T15:39:46Z,politics,Politics,Rishi Sunak to create new economic hubs in Darlington and Leeds,"Rishi Sunak has announced two new economic hubs will open in northern England – a move that will be seen as an attempt by the Conservatives to strengthen support outside their traditional heartlands. A Treasury campus will be set up in Darlington and a national infrastructure bank will be situated in Leeds, the chancellor confirmed in his budget speech. Several other locations including Bradford and Newcastle upon Tyne were said to have been under consideration in the plan to move Westminster-based civil servants north. Sunak announced plans for another Treasury headquarters in last year’s budget but after an extensive scoping exercise, revealed on Wednesday that Darlington in Tees Valley would be the location. In a video message to all staff seen by the Guardian, the chancellor said he was “really excited for what this” would mean for “all of you and us”, adding that the decision followed “a lot of thought and energy”.
In Leeds, Sunak promised the infrastructure bank would be up and running “in an interim form” by spring. Its role will be to dole out £13bn of equity and debt capital, and issuing up to £10bn of guarantees, as well as offering loans to local authorities from the summer. “Redrawing our economic map means rebalancing our economic investment,” said Sunak, who is also MP for Richmond in Yorkshire. Details about how many civil servants could be relocated to Darlington and how many jobs could be created in the region have yet to be clarified, but the government already plans to move 22,000 civil servants out of London by 2030. The policy mirrors a pledge in Labour’s 2019 manifesto when the then shadow chancellor, John McDonnell, pledged to “break up No 11” and move it “to the north”. Sunak is likely to use the announcement to underline the government’s commitment to “levelling up” – a key plank of the Conservatives’ manifesto. Ministers have been trying to find ways to hold on to the raft of so-called “red wall” seats in northern England won from Labour by the 2019 intake of Tory MPs who are keener on higher levels of public spending.
Sunak has said previously: “We are absolutely committed to levelling up opportunities so those living in all corners of the UK get their fair share of our future prosperity.” In autumn the Northern Policy Foundation, a Manchester-based thinktank founded by Conservative MPs, recommended Leeds for the new Treasury northern headquarters. Tom Lees, director of the foundation said, said on Wednesday that while Darlington was not their top choice, “it did come in the top 20% of possible locations in the north”. He added that the move should “help tackle groupthink, boost local growth and create opportunities in areas that have sometimes been overlooked and forgotten”. Darlington is close to some former red wall seats including Tony Blair’s former constituency of Sedgefield, as well as Bishop Auckland and North West Durham. Sarah Nickson, a senior researcher at the Institute for Government thinktank working on civil service changes, said when the Office for National Statistics shifted its headquarters from London to Newport in south Wales, 90% of London-based staff decided to stay in the capital and find other jobs. This, she said, resulted in disruption that continued to hamper the organisation’s work for a decade. Nickson said putting the Treasury HQ and infrastructure bank in different locations was a missed opportunity because “generalist” in the civil service liked to move between roles and departments, so “providing these opportunities in a single place” would have helped “persuade ambitious civil servants that shifting to Darlington is a bet worth taking”."
2021-03-03T14:35:43Z,politics,Politics,Sturgeon: claimed leak to Salmond has ‘alternative explanation’,"Nicola Sturgeon has said there is an “alternative explanation” to claims that her officials gave the name of a woman who had lodged a sexual harassment complaint about Alex Salmond to his former chief of staff in a significant breach of confidence. As she gave evidence to the inquiry into her government’s handling of the complaints on Wednesday morning, the former first minister’s office confirmed he has lodged a formal complaint with the Scottish government’s most senior civil servant, Leslie Evans, about the official who has been accused of – and has denied – disclosing the name of the complainer. Sturgeon is under intense pressure to answer multiple allegations that she misled parliament, after previously secret legal advice and new witness evidence released on Tuesday evening led to calls for her resignation as first minister. During four hours of evidence on Wednesday morning, Sturgeon was asked about a letter from Salmond’s lawyer, Duncan Hamilton, which stated that Salmond’s former aide Geoff Aberdein had told him in early March 2018 that the name of a complainer against Salmond had been leaked to him by one of her senior officials. This account of events was reiterated by Kevin Pringle, formerly a special adviser when Salmond was first minister. Sturgeon told MSPs: “It did not happen in the way that has been described.” Asked by the Scottish Conservative MSP Murdo Fraser who could corroborate the different version of events suggested by her senior official, Sturgeon replied: “It would be serious if the identity of a complainer was revealed, but that is not what I understand happened in the way it is being set out.” In an earlier response, she said she did not accept as fact that it had happened, and that she believed there was an “alternative explanation”. She added that, when she met Salmond at her home on 2 April 2018 – when she said she first became aware of the substance of the allegations – he knew the identity of one complainer because he had previously apologised to her for his behaviour towards her, and he had done his own investigations to find out the name of the other woman. She added that she did not recall Salmond “giving the impression he knew the identity because someone in the Scottish government told him”. Describing Salmond as “one of the closest people to me in my entire life”, she continued to deny that there was any plot against him. Salmond has alleged that there was a “malicious plan” by government and party officials close to Sturgeon, including her husband, Peter Murrell, who is the chief executive of the SNP, to destroy his reputation. She was later questioned by the Scottish Liberal Democrat committee member Alex Cole-Hamilton about when she knew about the allegations against Salmond. This is one of the key charges levelled against her by her former mentor. Salmond, supported by two other witnesses, claims she was told about them by Aberdein in her office on 29 March 2018. Sturgeon previously told Holyrood and the media she first learned of them from Salmond himself, at their meeting at her home on 2 April. She told Cole-Hamilton that she had had a “lingering suspicion” about Salmond since Sky News inquiry in November 2017 relating to his alleged behaviour at Edinburgh airport. “Ahead of 2 April I had an awareness there was a complaint, no doubt I had suspicions about what the nature of that might be, but that is what it was, a general awareness, a suspicion, that no doubt I had all sorts of theories for in my head.” At that meeting, she said, Salmond asked her to read a letter he had been sent by Evans, which detailed the accusations. “But it was reading the permanent secretary’s letter, that he showed me on 2 April, that gave me the knowledge and the detail behind that knowledge.” She was then asked by the independent MSP Andy Wightman about further evidence from Hamilton that Sturgeon had assured Salmond at that meeting that she would intervene in the inquiry on his behalf, telling him: “If it comes to it, I will.” Sturgeon told MSPs: “I believe I did make it clear that I would not intervene. I also know I was trying to let a longstanding friend and colleague down gently and maybe I did it too gently and he left with an impression I did not mean to give.” She insisted: “I had no intention of intervening and crucially I did not intervene.”"
2021-03-03T06:00:10Z,politics,Politics,Sturgeon to give evidence to Holyrood on Salmond inquiry amid calls to resign,"Nicola Sturgeon is under intense pressure to answer multiple allegations that she misled parliament, levelled by her former mentor Alex Salmond, after previously secret legal advice and new witness evidence led to calls for her resignation as first minister. Sturgeon will give evidence on Wednesday morning to a cross-party committee set up to investigate the Scottish government’s internal inquiry in 2018 into sexual harassment complaints against Salmond. Scotland’s first minister will face scrutiny about why her government continued its defence in the judicial review that Salmond launched in August 2018 to investigate its handling of the harassment claims, despite its own lawyers advising that it was likely to lose.
The confidential legal advice was finally released to the inquiry committee on Tuesday night, after repeated refusals by the Scottish government to publish it. In a letter to a Holyrood committee, also put out on Tuesday evening, one of Salmond’s lawyers, Duncan Hamilton, backed up the former first minister’s claim that Sturgeon had offered to intervene in the initial investigation on Salmond’s behalf in a private meeting at her home on 2 April 2018. Hamilton also stated that one of Salmond’s former aides, Geoff Aberdein, had told him in early March 2018 that the name of a complainer against Salmond had been leaked to him. This account of events was reiterated by Kevin Pringle, formerly a special adviser when Salmond was first minister. Both Hamilton and Pringle also endorsed Salmond’s claim to the committee last Friday that a meeting had been arranged between Sturgeon and Aberdein for 29 March 2018 in her Holyrood office, with the express purpose of setting up the meeting at her home four days later. Sturgeon, who is expected to testify on oath from 9am, has repeatedly said she will relish the chance to address in detail the allegations made by her former mentor. The first minister has denied breaching the ministerial code and has also dismissed Salmond’s claims that people close to her - including her husband Peter Murrell, the chief executive of the SNP - had plotted against him as untrue. Last week she accused Salmond of “creating an alternative reality in which the organs of the state [were] all part of some wild conspiracy against him” in order to deflect questions about his own past conduct. During her coronavirus briefing last Wednesday, Sturgeon referred to Salmond’s trial in March 2020, which ended in his acquittal of 14 charges of sexual assault, including one attempted rape, involving 10 women. The motives of those women who accused him were now being “maligned [and] have been accused of being liars and conspiracists”, she said."
2021-03-02T23:58:55Z,politics,Politics,Tory London mayor hopeful says basic income would be used for 'lots of drugs',"The Conservative candidate for London mayor, Shaun Bailey, has been criticised for arguing people paid a universal basic income (UBI) would blow the money on “lots of drugs”. Liberal Democrats and Green party on the London Assembly have been pushing for a trial of the UBI scheme, in which the state would grant all citizens a set sum of money on a regular basis, regardless of economic status. However, speaking to the Assembly’s economy committee on Tuesday, Bailey said the idea needed to take “human condition” into account. He said: “I’ve been a youth worker for over 20 years. I know some people would absolutely fly if you gave them a lump sum to deal with every week. I know some people who would buy lots of drugs. So where is the care in this, where is the care for the person? How do you get past just universally giving people money?” Bailey also questioned whether it could “drive prices up for basic goods when we know people could just buy them because the money’s there”. He added he was “concerned about work incentive” and a UBI was not clearly defined. Also in the hearing was Simon Duffy, the founder of the Centre for Welfare Reform thinktank, who told Bailey it was an “extraordinary claim”. He said: “I’m sure the people spending most of the money are not the poor – they’re the well-off. It’s your City traders and their cocaine habits. Where’s the love for them?” The Labour MP Wes Streeting said Bailey’s comments had “shown his utter contempt for hard-pressed families”. He said: “He has proven once again that he does not share London’s values.” The comments are the latest in a series of controversial remarks by the Tory candidate that have made headlines during the campaign. Last week, he was criticised for an interview with the Sun in which he said teenage mothers pushed people who “do the right thing” down the housing ladder. He has also suggested that homeless Londoners could save up a £5,000 deposit for a mortgage. Labour has called for the Crown Prosecution Service to investigate his publication of leaflets headed with fake City Hall insignia, accusing them of employing a “fraudulent device” to gain undue influence, as described by the 1983 Representation of the People Act. Bailey, trailing in the polls, is preparing to face the incumbent London mayor, Sadiq Khan, in leadership elections on 6 May. Khan has previously expressed that the UK should explore ideas like UBI, saying last year that it “is gaining support around the world and would ensure everybody can at least survive.” A spokesperson for Bailey’s campaign said: “Shaun Bailey has over twenty years of experience as a youth worker. He’s been homeless and he’s been out of work. So Shaun won’t take any lectures from career politicians on what life is like for those struggling to get on. “Instead of scoring political points, Shaun Bailey is focused on building a city where every resident in every community can thrive – and he’s using his two decades of experience as a youth worker to deliver a fresh start for London.”"
