pub_date,sectionId,sectionName,webTitle,text
2015-01-02T22:26:10Z,us-news,US news,"New York hospital lets British couple off hook for '$200,000 bill' after early birth","A British couple who feared a $200,000 (£130,000) medical bill after their baby was born 11 weeks premature while they were on vacation in New York breathed a little easier on Friday as the hospital caring for their son said it would “ensure that there will be no financial impact to the family”. Katie Amos and Lee Johnston’s baby, Dax, reportedly born weighing 3lbs, is in the neonatal intensive care unit at Lenox Hill hospital in Manhattan. On Friday, a hospital statement said: “Lenox Hill Hospital continues to work with the insurance carrier regarding payment approvals for all services rendered by the hospital, anesthesia and physician services from their insurance carrier. We will ensure that there will be no financial impact to the family. “In addition, our staff has been going above and beyond to ease the overall experience for the family, from arranging a place to live for the duration of their stay to helping them communicate with their family in the UK.” By Friday afternoon a fundraising page – started in an effort to help Amos and Johnston – entitled “Dax’s Tale of New York” had raised $9,577.68 (£6,248). Earlier, the couple’s friend Richard Crow wrote on a Facebook page of the same name: “Great news! I believe I can confirm that all medical bills will be covered! It’s been a long wait but well worth it! Due to the publicity that has gone on around the whole story, it has forced them to pay!” The Facebook page had garnered more than 13,600 likes. Amos and Johnston, from Lincolnshire, said they were told by doctors their bill could reach $200,000, as they would have to stay in hospital until 10 March, when Dax would be cleared to travel to the UK. The baby was reportedly born 28 December. Crow said he started the fundraising page because people wanted a way to help the young couple out. He said Johnston and Amos had not asked him to do so. “I am running it. Neither Lee [nor] Katie have asked for any money”, he wrote. “Myself and a few good friends got together to see what we could do to help them. It was only really to be a local thing. It was decided we would start a FB page and I said I would run it. It was also my decision to do the page as baby Dax.” Crow’s efforts attracted significant publicity, including support from the British model Katie Price. Crow said the money raised would be used to support the couple during their extended stay in New York, as Johnston is self-employed and Amos receives only basic maternity pay. He said an airline had agreed to honor the couple’s return flight to the UK when they were ready to leave New York. Crow said the new parents would donate any remaining money to the Ronald McDonald Fund, which has provided temporary housing while Dax is in hospital. He also offered donors the chance to ask for their money back if they felt “cheated” or if they had misunderstood the situation – he said the fundraising effort had not been intended to reach the $200,000 figure quoted for the couple’s medical bills. The couple did not have travel insurance, but had received clearance from their doctor to fly, Crow said, before they undertook their five-day trip to New York. Dax was born after Amos went into labour during a movie tour of Central Park. Crow said both parents and Dax were well and immensely grateful for the support. “Dax is doing fine,” Crow wrote on Facebook. “Lee got to feed him yesterday for the first time, though I understand it is an [unconventional] task!!! They seem in better spirits now due to … the support back here.”"
2015-01-02T22:16:15Z,us-news,US news,Senate minority leader Harry Reid breaks ribs and facial bones in accident,"The incoming Senate minority leader, Harry Reid, broke several ribs and bones in his face in an accident while exercising at his Nevada home, his office said on Friday. The senior Democrat from Nevada was treated at University Medical Center in Las Vegas, which he left on Friday afternoon. Reid’s office said doctors expected the 75-year-old to make a full recovery. Spokeswoman Kristen Orthman said the senator was “ready to get back to work” and had gone home to Henderson, prior to returning to Washington this weekend ahead of the Senate reconvening on Tuesday. White House spokesman Eric Schultz said President Barack Obama had called Reid “to wish him a full and speedy recovery” and was glad to hear the senator was doing well. Reid was exercising at his home in Henderson, Nevada, south-east of Las Vegas, when he had the accident. “A piece of equipment Senator Reid was using to exercise broke, causing him to fall and break a number of ribs and bones in his face,” his office said in a press release. “Senator Reid will return to Washington this weekend and be in the office Tuesday as the Senate prepares to reconvene. His doctors expect a full recovery. “Senator Reid was first brought to St Rose Dominican Hospital in Henderson by his security detail. He was then transferred to UMC for further testing, where he was admitted overnight as a precaution.” One colleague, Senator Jeff Flake of Arizona, tweeted: “Now there’s a man serious about new year’s resolutions! Get well soon, @SenatorReid. See you back in DC.” In October 2012, Reid suffered rib and hip injuries in a car crash. In 2011, a fall resulted in a dislocated shoulder and a bump to the head. In the November midterm elections, Democrats ceded control of the Senate to Republicans, ending Reid’s tenure as majority leader, which began in 2007. Mitch McConnell of Kentucky will assume that role next week."
2015-01-02T21:08:27Z,us-news,US news,Obama imposes new sanctions against North Korea in response to Sony hack,"The US has imposed economic sanctions against several North Korean government agencies and senior officials in retaliation for the country’s alleged role in hacking Sony Pictures’ systems and threatening US moviegoers. Despite some continued claims from outside the US government that the hack may have been the work of disgruntled employees instead, the White House on Friday followed through on its threat to seek revenge, blaming the Democratic People’s Republic of Korea for “provocative, destabilizing, and repressive actions and policies, particularly its destructive and coercive cyber attack on Sony Pictures Entertainment”. Following an executive order by Barack Obama, the US Treasury has designated three state-run organisations and ten North Korean government officials for specific actions, including the country’s intelligence agency, an arms exporter and a defence procurement agency. “Today’s actions are driven by our commitment to hold North Korea accountable for its destructive and destabilizing conduct,” said Treasury secretary Jack Lew in a statement. “Even as the FBI continues its investigation into the cyber-attack against Sony Pictures Entertainment, these steps underscore that we will employ a broad set of tools to defend US businesses and citizens, and to respond to attempts to undermine our values or threaten the national security of the United States.” A separate statement from the White House added: “We take seriously North Korea’s attack that aimed to create destructive financial effects on a US company and to threaten artists and other individuals with the goal of restricting their right to free expression.” “As the president has said, our response to North Korea’s attack against Sony Pictures Entertainment will be proportional, and will take place at a time and in a manner of our choosing. Today’s actions are the first aspect of our response.” The US says its latest actions are designed to complement existing sanctions against these government entities that were introduced previously in response to nuclear proliferation and “illicit financial activity”, and not a sign that it believes these were specifically the agencies or individuals directly involved in the latest hack. Nevertheless, a senior administration official told reporters in a phone briefing that the FBI continued to be adamant that North Korea was to blame for the attack, insisting independent experts questioning its theory were limited in number and did not have access to the same information. “We are standing by our assessment,” said one US official. The White House also insists that the sanctions, though barring only limited further commercial engagement with the already heavily-isolated state, were a significant step because they were the first time it has retaliated for cyber-attacks against a company. Asked if this meant the US was effectively denying rumoured involvement in internet outages in North Korea last month after the Sony hack first came to light, administration officials refused to comment on any “covert activity”."
2015-01-02T20:47:14Z,us-news,US news,Flu reaches epidemic proportions this season â€” but that's not unusual,"Influenza has reached epidemic proportions in the US, the Centers for Disease Control and Prevention (CDC) reported this week, as 2014 ended with 15 children reported killed by the virus. Since 28 September, experts at the federal agency have confirmed 28,218 cases of influenza around the US. Thirty-six states reported widespread virus activity, 22 of them experiencing high infection rates and nine reporting deaths. The south and midwest have had a particularly tough season, with three deaths in Texas and hospitals issuing warnings to parents in Michigan and Kansas. Only halfway through the flu season, the CDC predicts influenza strains will infect every state and US territory by the end of spring. It cautioned, however, that the 2014-15 flu season should not yet be compared with previous years. Dr Michael Jhung, one of the CDC’s experts on influenza, told the Guardian there was no reason yet to believe that the 2014-15 flu season is unusual. “We are in an epidemic of flu, but we have epidemics of flu every year,” he said. The flu crosses the threshold of epidemic levels almost every year in the US, as strains mutate and the CDC rolls out new vaccines to meet the changed viruses. As of the CDC’s last assessment, the current flu season is at the threshold of an epidemic. “There’s a suggestion that it may be a more severe season,” Jhung said, since “the most common virus of this season, the H3N2 virus, has been associated with more severe seasons in the past.” Jhung characterized those H3N2 years as “moderately severe”, and said this season was shaping up to look like those years. But he cautioned that the flu season could change dramatically before the end of May. “The common line of ‘If you’ve seen one flu season then you’ve seen one flu season’ really applies,” he said. “Things could change in the next week or the next month, and we could end up with a mild season, or with a different dominant virus.” In December, the CDC warned that this year’s flu vaccine would be less effective than usual due to a strain’s mutation during the production of the shot. Agency director Dr Tom Frieden advised hospitals that the season could be more severe, since the vaccine, which covers several variants, is a mismatch with the virus circulating most widely. Flu seasons tend to be unpredictable: in the past decade as few as 37 people have died one season and as many as 171 the next. In only one year in recent memory has influenza reached pandemic proportions, when the strain of H1N1 “swine flu” swept through the US in 2009. That year, as in 2014, variant strains “drifted” genetically and antigenically – meaning they mutated to evade a host’s defenses – at just the right time to slip past researchers developing a vaccine. The CDC helped decide what would be in this year’s flu vaccine in February, and production takes about four months; the H3N2 strain mutated just enough in March to reduce the vaccine’s effect. “The vaccine’s different, but similar enough so there’s protection afforded,” Jhung said, “and it will still provide very good protection for the other flu viruses still out there.” The CDC will not know until April or May whether the 2014-15 season is worse than others, because deaths and hospitalizations are only two means of gauging a season and are reported slowly, and because the CDC does not require hospitals report adult deaths. For that reason, the CDC says it may simply be an unusually early season, rather than a more severe one. This year’s dominant strain of H3N2, however, does “tend to have more hospitalizations and more deaths”, Frieden warned in December. With months left before infections wane and a few strains well protected by the vaccine, Jhung recommended that people at risk – children under two, adults over 65 and people with medical conditions – quickly get antiviral medications from a doctor should they fall ill with the flu. Such medications “work to prevent the virus from replicating in the body”, he said, meaning that the flu can be kept in check before it has a chance to overwhelm an already vulnerable immune system. Most children who die from influenza-related causes were not vaccinated, the CDC has found. Frieden advised in December that preventative measures as simple as staying home would help reduce infection rates and be better for sick people."
2015-01-02T20:20:41Z,us-news,US news,California roller rink shooting leaves security guard dead and two wounded,"Police are hunting gunmen who fired at a crowd of revellers at a southern California roller rink early on New Year’s Day, killing a security guard and wounding two other men. The attack happened shortly before 2am in the parking lot at Cal Skate in Grand Terrace, between Riverside and San Bernardino, where about 200 people, including children, were attending an all-night party to celebrate the new year. Richard Williamson, 48, a guard who owned the company providing security for the event, reportedly returned fire. He was hit and taken to a nearby hospital where he died. “I woke up, to my amazement, and saw muzzle flashes, coming from both sides of the parking lot,” Michael Marcoly, a driver who was sitting in his big-rig in the parking lot when the gunfire broke out, told KNBC-TV. “I saw people scattering. It’s really hard for me to say, but I saw the security officer go down, and he died a hero. He saved a bunch of kids and families, no doubt in my mind.” Marcoly thought the melee was part of the event before he realised live rounds were being fired at the crowd. “At first, I thought it was just people celebrating the new year, firing guns,” he said. “Then, when it hit my truck, it rocked my truck.” Two other men, including a guard employed by Williamson, were wounded. The men were ages 22 and 28; one was treated at the scene and the other was taken to a hospital. Their names were not released. The San Bernardino County sheriff’s office said in a statement no arrests had been made: “The suspects remain outstanding and investigators are asking anyone who may have witnessed the shooting to contact investigators.” The skating rink said in a statement it was working with investigators. “Our prayers are with the officer and who was involved and those who witnessed this tragic event,” the statement said. Williamson owned Big Will’s Security Services, a Riverside-based firm which provided the guards for the party. Tributes posted on Facebook said he had a big heart and worked hard. “He was just a very cool guy [who] had a big personality,” said Ray Dillick, who worked at the Riverside Indoor Shooting Range. “Always talking with us at the range and would tell us to stay safe.”"
2015-01-02T18:43:28Z,us-news,US news,Mario Cuomo embodied our hopes for a liberal presidency that never was,"At the 1984 Democratic Convention in San Francisco – a wan gathering of a doomed political party – New York governor Mario Cuomo delivered a full-throated liberal response to triumphant President Ronald Reagan. Eloquently challenging conservative go-it-alone economics, Cuomo defined the Democratic Party’s credo as the shared obligations of a family: “We are bound one to another.” Cuomo’s oration, which produced visible tears among Democratic delegates, may well have been the greatest American convention address of modern times. Certainly, it ranks with a defeated Ted Kennedy’s “the dream shall never die” speech in 1980 and the 2004 convention keynote address by a little-known Illinois state senator named Barack Obama. Cuomo, who served three terms as governor but never moved beyond his flirtations with running for president, died on New Year’s Day afternoon at age 82 from a heart condition. Although he was one of the longest-serving governors in New York history, his legacy has little to do with what he accomplished in office. Rather he is mourned today because of all the hopes that he embodied for a liberal presidency that never was. Just five hours before this towering figure in late 20th-century politics died, his son and more politically moderate heir Andrew Cuomo delivered his second inaugural address as New York’s governor. In his speech on Thursday, the younger Cuomo said, “He couldn’t be here physically today ... but my father is in the room.” Unlike the old-money Bushes and the glamorous Kennedys, there was nothing about Mario Cuomo’s origins to suggest that he would launch a political dynasty. Too Italian-American and too outer-borough Born in the depths of the Depression to immigrant parents from southern Italy who did not speak English, Cuomo grew up in Queens, a New York City borough filled with multi-ethnic strivers. He attended Catholic schools and then St John’s University in Queens for his undergraduate education and law school. Despite being tied for first in his law-school class, Cuomo discovered that he was too Italian-American and too outer-borough to get a job with an elite Manhattan law firm. These slights from 1950s America stayed with Cuomo all his life. Practicing law in Queens, he gained a reputation for successfully mediating a racially charged dispute over the size of a public housing development in 1972. Trying to use his news clippings as a springboard, Cuomo lost a statewide primary election for lieutenant governor in 1974 and then was defeated by Ed Koch in the contentious 1977 New York City mayoral campaign. The emblematic moment in Cuomo’s successful 1982 race for governor came in a televised debate when he called attention to his wealthy Republican rival’s luxurious gold watch. Even as he reflected the resentments of middle-class New Yorkers, Cuomo became known as a governor who elevated principle over politics. During a crime-ridden decade, he challenged the simplistic belief in capital punishment and vetoed popular legislation to restore the state’s death penalty. But that was pretty much all that non-New Yorkers knew about Cuomo when he took center stage in San Francisco on 16 July 1984. Making a distinction between the two parties that still resonates 30 years later, Cuomo said, “The Republicans believe that the wagon train will not make it to the frontier unless ... the weak are left by the side of the trail ... We Democrats believe that we can make it all the way with the whole family intact.” In 1896, on the strength of a speech as powerful as Cuomo’s, the Democrats nominated William Jennings Bryan for president. But by 1984, conventions no longer had a will of their own and had become television spectacles. Which is why Democrats in San Francisco dutifully stuck with Walter Mondale, who went on to lose 49 states to Reagan. With that convention speech and, two months later, an adroitly argued Catholic defense of abortion rights at Notre Dame University, Cuomo created a national clamor for him to run for president as a liberal champion. But Cuomo took himself out of the running long before the 1988 campaign and the Democrats went on to lose their third landslide election in a row as George HW Bush routed Michael Dukakis. But 1992 was Cuomo’s year – or so the political touts thought. But the three-term governor dithered and delayed so much that he was ridiculed as “Hamlet on the Hudson.” On the filing day for the first-in-the-nation New Hampshire primary, with a plane waiting on the tarmac to fly him there to hand in his nominating petitions, Cuomo bowed out for the last time. What if... Cuomo insisted (though it never sounded convincing) that he would have run if it were not for a budget impasse with the New York state legislature. And maybe he could have beaten Bill Clinton, even in a year when the Democrats looked south and to the center in choosing a nominee. But there was always the sense that the thin-skinned Cuomo, a politician who hated to travel, knew that his urban style and urbane rhetoric was not suited for a marathon national race for the White House. Cuomo resisted one more turn of ambition’s wheel: In 1993, he allowed Clinton to seriously consider him for the supreme court and then – in characteristic style – took himself out of the running at the last minute. Instead, he stubbornly ran for a fourth term as governor in 1994 and lost to George Pataki, a little-known state legislator, in that year’s Republican tidal wave. The enigmatic and sometimes exasperating Cuomo had a long career near the center of American political life. But his true moment of glory came at that otherwise-forgotten 1984 convention when he defined - for then and now - what it means to be a liberal. Walter Shapiro has covered the last nine presidential campaigns. He is currently a lecturer in political science at Yale University and a fellow at the Brennan Center for Justice at NYU."
2015-01-02T18:42:25Z,us-news,US news,"Girlfriend of John Crawford, man killed by police in Walmart, dies in car crash","The girlfriend of John Crawford, the young man who was shot dead by police while holding a pellet gun and speaking on his cellphone in an Ohio supermarket last year, has been killed in a car crash. Tasha Thomas died on New Year’s Day when the car she was travelling in struck a pole in Dayton at high speed and overturned, according to police. The driver, Frederick Bailey, died soon after at a hospital.
Thomas, who was 26, was shopping with Crawford at the Walmart in Beavercreek, a Dayton suburb, in August last year when Crawford was shot dead by a police officer. The officer was responding to a 911 call from a customer who said Crawford was pointing a gun at passersby. Last month the Guardian disclosed that Thomas was aggressively questioned by police after the shooting. A detective accused her of lying, threatened to send her to jail, and suggested that she was high on drugs before telling her that Crawford, 22, was dead. “It’s just tragic,” Michael Wright, the attorney for Crawford’s family, said on Friday of Thomas’s death. “It is a sad set of circumstances continuing from what happened at Walmart.” Wright, who advised Thomas soon after the shooting, said that her death had been confirmed to him by Anthony VanNoy, Thomas’s attorney. VanNoy could not be reached for comment. An official in the Montgomery County coroner’s office confirmed that Thomas, who lived in Fairborn, was pronounced dead at the scene of the crash on North Broadway street at 3.06pm and that Bailey, 30, died at the emergency room about 22 minutes later. Police told ABC22 that the car was travelling at between 90 and 100mph. Surveillance footage released after Crawford’s death showed he was shot after walking around the store with the pellet gun and occasionally swinging it at his side. The shooting was investigated by state officials and handled by a special prosecutor. A grand jury decided in September that the two police officers involved should not face criminal charges. Crawford’s family last month filed a civil lawsuit over Crawford’s death against the officers, the Beavercreek police department and its chief, and Walmart. All deny wrongdoing."
2015-01-02T17:11:07Z,us-news,US news,"'Excelsior, Governor Cuomo': politicians and journalists applaud a liberal giant","On New Year’s Day, 32 years after he was first sworn in as governor of New York, and the same day his son Andrew took the oath of office for the second time, Mario Cuomo died at the age of 82. Cuomo led New York from 1983 to 1994. His profile extended far beyond the Empire State, thanks in part to a famous speech at the 1984 Democratic National Convention and his own dramatic deliberations over whether to run for the White House. He never did run for president – pundits have been asking “what if” ever since – but on Thursday commanders in chief paid tribute, along with senators, governors and writers. President Barack Obama “Michelle and I were saddened to learn of the passing of former New York governor Mario Cuomo. An Italian Catholic kid from Queens, born to immigrant parents, Mario paired his faith in God and faith in America to live a life of public service – and we are all better for it. He rose to be chief executive of the state he loved, a determined champion of progressive values and an unflinching voice for tolerance, inclusiveness, fairness, dignity, and opportunity. His own story taught him that as Americans, we are bound together as one people, and our country’s success rests on the success of all of us, not just a fortunate few. Michelle and I extend our deepest condolences to Mario’s wife, Matilda; his children, Governor Andrew Cuomo, Maria, Margaret, Madeline, and Chris; and his family, friends and New Yorkers who loved him dearly.” Bill and Hillary Clinton The former president and the former first lady, New York senator and secretary of state – and presumed frontrunner for the Democratic presidential nomination in 2016 – released a joint statement: “We are terribly saddened by the passing of our friend Mario Cuomo. Mario’s life was the very embodiment of the American dream. When he placed my name in nomination at the 1992 Democratic Convention, he said government had ‘the solemn obligation to create opportunity for all our people’. In his three terms as Governor of New York, he honored that obligation. It was Mario Cuomo’s great gift and our good fortune that he was both a sterling orator and a passionate public servant. His life was a blessing.” Bill de Blasio The mayor of New York City ordered all flags be lowered to half-mast for 30 days and said Cuomo “established the gold standard in New York state for how public servants should act, and set an example that the rest of us continue to aspire to today. He was a man who campaigned with poetry and governed with beautiful prose … As he would often remind us, the state’s motto was ‘Excelsior’ or ‘Ever Upward’. Mario Cuomo personified the idea of New York, always urging us to look ‘ever upward’. Excelsior, Governor Cuomo. We will never forget his legacy.” George Pataki The former New York governor, who defeated Cuomo in his bid for a fourth term, said:
New York senator Chuck Schumer “From the hardscrabble streets of Queens, Mario Cuomo rose to the very pinnacle of political power in New York because he believed in his bones in the greatness of this state, the greatness of America and the unique potential of every individual. From soaring oratory that stirred the very soul to painstaking coalition-building to advance policies and accomplishments, he was a colossal political mind and represented the very best of public service; he leaves an indelible legacy on the state he loved.” New York senator Kirsten Gillibrand
Former US senator Al D’Amato
Reverend Al Sharpton The New York-based civil rights campaigner said: “We debated often, but he never would reduce our disagreements to petty personal grudges. He was a philosopher at heart that always saw the bigger picture. Even when we would engage in debate, I felt he was playing chess while I was playing checkers.” The press As Cuomo’s former speechwriter and advisor Stephen Schlesinger noted in the New York Observer, the former governor “charmed a coterie of New York journalists … they understood that he was at one with them in their politics and that he echoed their sympathies toward life’s struggles”. On Thursday night, reporters who followed Cuomo’s career – some for decades – paid poignant tribute. In his obituary of Cuomo for the New York Times, Adam Nagourney wrote: “When invited to sum up his own life for this obituary, he characteristically turned to self-deprecating humor. ‘People asked me what I want as an epitaph,’ Mr Cuomo said. He then reprised a line he had used many years earlier traveling across upstate New York, a fresh public figure displaying astonishing talent and obvious potential. ‘He tried,’ Mr Cuomo said.” In the Daily Beast, Eleanor Clift wrote: “Mario Cuomo knew where he came from, and he never spoke down to the American people.” In Capital New York, Terry Galway put Cuomo’s legacy in perspective: “Long before Bill de Blasio summoned the ghost of Charles Dickens, long before the phrase ‘income inequality’ became part of the political lexicon, long before shimmering castles rose in the Midtown sky in celebration of a new gilded age, there was Mario Matthew Cuomo, son of immigrants, child of the New Deal, keeper of his party’s conscience.” Finally, the New Yorker’s Ken Auletta looked back on his relationship with the governor. “In the four decades I knew him,” Auletta wrote, “I tried to keep him at arm’s length. Journalists are not supposed to say this, but I loved the guy.”"
2015-01-02T02:58:21Z,us-news,US news,"Mario Cuomo, three-term liberal governor of New York, dies aged 82","Mario Cuomo, the former governor of New York, has died aged 82. A statement from the governor’s office said he died at home of heart failure, with his family by his side. He had been unwell for some time. Cuomo, a renowned liberal and gifted orator, died on Thursday after his son, Andrew, was inaugurated for a second term as governor. His last public appearance was at an election-night celebration for his son in November. President Barack Obama led the tributes to Cuomo, who was born in Queens, New York to immigrant parents and whose popularity twice made him a possible contender for the White House during a long career in the frontline of politics. He was a “determined champion of progressive values, and an unflinching voice for tolerance, inclusiveness, fairness, dignity, and opportunity”, Obama said, whose life showed that the “country’s success rests on the success of all of us, not just a fortunate few”. Former president Bill Clinton and Hillary Clinton, a former secretary of state, said in a joint statement: “It was Mario Cuomo’s great gift and our good fortune that he was both a sterling orator and a passionate public servant. His life was a blessing.” “Mario’s life was the very embodiment of the American dream.” The mayor of New York city, Bill de Blasio, said in a statement: “Tonight, New York has lost a giant. Mario Cuomo was a man of unwavering principle who possessed a compassion for humankind without equal.” In his inauguration address on Thursday, Andrew Cuomo said he had read his speech to his father the night before. “He said it was good, especially for a second termer,” the younger Cuomo said.
Cuomo, a Democrat, was governor of New York between 1983 and 1994, losing to George Pataki in his attempt to be returned for a fourth term. He flirted with running for the White House in 1988 and 1992. For the perceived indecision which supposedly once left a plane idling on a runway before he finally decided not to travel to New Hampshire for the presidential primary, he earned the nickname “Hamlet on the Hudson”. A lawyer by training and profession, in 1993 he also came close to being nominated to the supreme court by President Bill Clinton.
It was his legal practice that first led him into politics in the mid-1960s when he helped residents fight a city plan to level small scrap-processing plants near the site of the 1964 World’s Fair. Cuomo won the fight and saved hundreds of jobs. For the next 10 years he repeatedly fought the power structure, winning concessions for residents in housing, education and welfare. When a law school friend, Hugh Carey, was elected governor in 1974, Cuomo joined his administration as secretary of state. In 1977 he returned to New York City to run for mayor.
He finished a close second but lost the run-off to Ed Koch, who blistered Cuomo’s opposition to the death penalty in what became a long-running Democratic rivalry. He then beat Koch in their run for the governorship in 1982 with heavy support from upstate New York. His speech to the 1984 Democratic National Convention in San Francisco confirming Walter Mondale as the nominee to take on President Ronald Reagan made his name on the national scene.
The speech, which articulated his liberal principles, took aim at Reagan’s economic policies, especially his comments that America was “shining city on a hill”. Cuomo countered by saying: “A shining city is perhaps all the president sees from the portico of the White House and the veranda of his ranch, where everyone seems to be doing well. “But there’s another city; there’s another part to the shining city; the part where some people can’t pay their mortgages, and most young people can’t afford one; where students can’t afford the education they need, and middle-class parents watch the dreams they hold for their children evaporate.” His speech defining Republicans as looking out only for the well-off and Democrats as champions of the middle class and the poor propelled Cuomo to the forefront of the party leadership. Cuomo easily won re-election for governor in 1986 and 1990. He repeatedly vetoed legislation that would have restored the death penalty in New York, and he closed down the Shoreham nuclear power plant on Long Island. He also built 30 new prisons. Under Cuomo, the state budget grew from $28bn to $62bn. In 2004, Cuomo authored Why Lincoln Matters, a book which sought to show how Abraham Lincoln, the 16th president and an icon of the Republican party, would have applied liberal solutions to contemporary challenges. He is survived by his wife, Matilda; Andrew; another son, the CNN journalist Chris Cuomo; and three daughters, Margaret, Maria and Madeline."
2015-01-01T22:44:03Z,us-news,US news,"British couple 'face $200,000 hospital bill' after baby born early in New York","A British couple say they could be in for a $200,000 (£130,000) hospital bill, after traveling to New York City for a five-day vacation, only for their baby boy to be born 11 weeks premature. Dax was reportedly born weighing 3lbs; according to the Independent he is in the neonatal intensive care unit at Lenox Hill hospital in New York. The hospital did not immediately respond to a Guardian inquiry. “My mummy and daddy went on a five day break to New York as a last get away before I came along!” wrote Katie Amos and Lee Johnston from Lincolnshire, in the voice of their child Dax on a fundraising page entitled “Dax’s Tale of New York”. “They went to a cake shop (Mummy loves cakes), and were walking through Central Park on a movie tour and I decided they were having such a good time I wanted to see what all the fun was about, and I decided to pop out 11 weeks early!” The couple say they could be forced to stay in the hospital, uninsured and accruing medical debt, until 10 March. It is unclear whether the couple’s travel insurance will pay for the delivery of their son. The couple say on their fundraising page that they have no family or friends in New York. By Thursday evening, their fundraising page had raised $7,566 (£4,855). They have received significant publicity, including support from the British model Katie Price."
